"id","basket_value","recency_days","citrus fruit","tropical fruit","whole milk","other vegetables","rolls/buns","chocolate","bottled water","yogurt","sausage","root vegetables","pastry","soda","cream","low_value_basket","medium_value_basket","high_value_basket","Cluster","cluster1","cluster2","cluster3","cluster4","cluster5"
64,4.3,35,"no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
65,8,76,"no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","no","yes",4,no,no,no,"yes",no
66,1.2,7,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
69,6.1,1,"no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
70,8.6,16,"no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
72,4.3,50,"no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
73,5.4,69,"yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
74,2.9,35,"no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
76,4.7,31,"no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
77,6.4,76,"yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
78,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
79,3.1,34,"no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
81,3.1,40,"no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
82,5,47,"no","no","yes","no","yes","no","no","no","no","yes","no","no","no","no","yes","no",2,no,"yes",no,no,no
83,1.6,58,"no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no",2,no,"yes",no,no,no
85,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
86,10.2,19,"no","no","no","no","yes","no","no","yes","yes","yes","no","no","no","no","no","yes",1,"yes",no,no,no,no
88,6.4,11,"no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
89,1.5,64,"no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
90,1.7,61,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
93,7.7,17,"yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
94,9.3,22,"yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
97,7.1,13,"no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
98,6.1,9,"yes","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
99,2.7,64,"no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
100,3.2,45,"yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
101,1.7,67,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
102,14.1,76,"no","no","yes","no","yes","no","no","no","yes","no","yes","yes","no","no","no","yes",4,no,no,no,"yes",no
103,3.6,46,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
104,7.6,18,"no","no","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
105,1.7,62,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
106,2.2,75,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
107,2.7,52,"yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no",2,no,"yes",no,no,no
108,10.2,2,"no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
110,2.1,55,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
111,10,12,"no","no","no","yes","yes","no","no","no","yes","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
112,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
113,4.8,26,"no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
114,5.1,32,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
115,1.1,2,"yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
116,4.8,29,"no","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
117,3.4,50,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
118,4.2,31,"no","no","yes","yes","no","no","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
119,8,15,"no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
120,5.4,76,"no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
121,4.9,27,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
123,5.8,76,"no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no",4,no,no,no,"yes",no
124,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
126,14.4,17,"yes","yes","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
129,7.1,6,"no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
132,2.7,74,"no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
134,1.7,53,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
136,3.4,48,"no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
137,1.7,70,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
138,2.2,70,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
141,8.3,8,"no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
142,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
143,1.2,7,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
144,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
145,6.2,8,"yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
146,2.2,71,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
147,4.7,36,"no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
148,3.2,48,"no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no",2,no,"yes",no,no,no
149,4.7,30,"yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
151,5.6,67,"no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
152,6,17,"yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
153,2.2,76,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
154,2.8,26,"no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
155,5.6,53,"no","no","yes","yes","no","no","no","yes","no","yes","no","no","no","no","yes","no",2,no,"yes",no,no,no
158,6.5,13,"no","no","yes","no","yes","no","yes","no","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
159,4.6,49,"no","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
161,3.4,32,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
162,1.7,75,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
163,3.5,38,"no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
165,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
166,1.7,61,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
167,2.8,26,"no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no",1,"yes",no,no,no,no
168,5.3,76,"no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
170,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
171,4.6,37,"no","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
172,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
175,4.8,49,"no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no",2,no,"yes",no,no,no
176,6.3,13,"no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
177,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
178,5.1,29,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
179,4.9,49,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
180,2.7,55,"no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
181,3.4,50,"no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
182,6.4,17,"no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
183,2.7,54,"no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
184,1.7,57,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
186,12.8,3,"no","yes","yes","yes","no","no","no","yes","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
187,2.2,72,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
188,5.1,43,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
189,3.3,26,"no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
190,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
194,2.2,68,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
195,1.7,66,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",4,no,no,no,"yes",no
196,2.8,27,"no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no",1,"yes",no,no,no,no
199,1.1,2,"yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
200,4.9,27,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
202,3.1,39,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
203,2.2,63,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
205,2.6,68,"no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
206,2.2,65,"no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no",4,no,no,no,"yes",no
207,4.1,30,"no","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","yes","no",3,no,no,"yes",no,no
208,5.2,76,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
210,8,76,"no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","no","yes",4,no,no,no,"yes",no
211,4.6,42,"no","no","no","no","no","no","yes","yes","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
213,9.4,9,"no","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
214,2.9,28,"no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","yes","no",1,"yes",no,no,no,no
215,8.3,19,"no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
218,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
221,6.6,1,"no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
223,15.8,9,"yes","no","yes","yes","yes","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
226,8.8,16,"no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
228,2.1,62,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
229,7.3,7,"no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
231,6.4,12,"no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
232,11.1,21,"yes","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
233,2.6,63,"no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no",4,no,no,no,"yes",no
234,7.1,11,"no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
235,8.7,22,"no","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","yes",1,"yes",no,no,no,no
236,3.5,27,"no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
237,1.6,75,"no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no",4,no,no,no,"yes",no
238,6.3,4,"no","no","yes","yes","yes","no","no","no","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
239,6.3,19,"no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
240,11.1,21,"yes","no","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
241,5.2,76,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
242,5.6,55,"no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no","yes","no",2,no,"yes",no,no,no
243,4.5,33,"yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
244,4.9,34,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
245,4.2,31,"no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no",3,no,no,"yes",no,no
246,3.6,32,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
247,12.1,14,"no","no","no","no","yes","yes","no","no","no","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
249,10.3,23,"no","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
250,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
251,3.9,27,"no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no",1,"yes",no,no,no,no
252,11.2,3,"no","no","yes","no","yes","no","yes","yes","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
253,5.1,45,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
255,1.3,9,"no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
256,4.4,50,"no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","yes","no",2,no,"yes",no,no,no
257,1.7,58,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
258,1.7,57,"no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no",2,no,"yes",no,no,no
259,20.5,26,"yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
260,2.8,27,"no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","yes","no",1,"yes",no,no,no,no
261,7,76,"no","no","no","yes","no","no","no","no","no","yes","yes","no","no","no","no","yes",4,no,no,no,"yes",no
263,3.1,36,"no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
266,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
267,12.2,13,"no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
268,6.3,5,"no","yes","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
270,1.6,58,"no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no",2,no,"yes",no,no,no
271,5.6,57,"yes","no","yes","no","no","no","no","no","no","yes","no","yes","no","no","yes","no",2,no,"yes",no,no,no
272,3.6,42,"no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
273,2.1,54,"no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",2,no,"yes",no,no,no
274,10,7,"no","yes","yes","no","no","no","no","no","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
275,10.3,5,"yes","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
276,11.7,76,"no","no","yes","yes","yes","no","yes","yes","no","no","yes","no","no","no","no","yes",4,no,no,no,"yes",no
277,13,18,"no","no","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
278,8.2,23,"yes","yes","yes","no","yes","no","no","no","no","yes","no","no","no","no","no","yes",1,"yes",no,no,no,no
279,7.5,4,"yes","no","yes","yes","yes","no","no","no","no","no","no","yes","no","no","no","yes",5,no,no,no,no,"yes"
281,4.1,76,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
282,4.1,41,"no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
284,3.2,34,"yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
285,9.8,6,"no","no","yes","no","yes","no","no","yes","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
286,5.3,76,"no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
288,1.1,2,"yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
290,4.6,34,"yes","no","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
291,4.9,50,"no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no",2,no,"yes",no,no,no
292,3.9,37,"no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
293,10.7,20,"no","no","yes","yes","no","no","no","yes","no","yes","no","no","no","no","no","yes",1,"yes",no,no,no,no
294,9.4,16,"no","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","no","yes",1,"yes",no,no,no,no
295,7.9,11,"no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","yes",5,no,no,no,no,"yes"
296,4,44,"yes","no","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
300,3.9,30,"yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
301,7.1,3,"no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes",5,no,no,no,no,"yes"
302,5.3,56,"no","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no",2,no,"yes",no,no,no
305,4.8,34,"no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no",3,no,no,"yes",no,no
306,7.2,15,"no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes",1,"yes",no,no,no,no
307,1.4,11,"no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
308,4.1,76,"no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
309,11.3,25,"no","yes","yes","no","no","no","no","yes","yes","yes","no","no","no","no","no","yes",1,"yes",no,no,no,no
311,1.2,6,"no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no",5,no,no,no,no,"yes"
312,5.2,76,"yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no",4,no,no,no,"yes",no
313,5.1,35,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no",3,no,no,"yes",no,no
315,2.8,27,"no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no",1,"yes",no,no,no,no
