"id","basket_value","recency_days","citrus fruit","tropical fruit","whole milk","other vegetables","rolls/buns","chocolate","bottled water","yogurt","sausage","root vegetables","pastry","soda","cream","low_value_basket","medium_value_basket","high_value_basket"
111,10,12,no,no,no,"yes","yes",no,no,no,"yes","yes",no,no,no,no,no,"yes"
112,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
113,4.8,26,no,no,"yes",no,"yes",no,"yes",no,no,no,no,no,no,no,"yes",no
114,5.1,32,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
115,1.1,2,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
116,4.8,29,no,"yes","yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
117,3.4,50,no,no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,"yes",no
118,4.2,31,no,no,"yes","yes",no,no,no,no,no,no,no,"yes",no,no,"yes",no
119,8,15,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no,no,"yes"
120,5.4,76,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no,no,"yes",no
121,4.9,27,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no
123,5.8,76,no,no,no,no,no,no,no,no,no,no,"yes","yes",no,no,"yes",no
124,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
126,14.4,17,"yes","yes","yes",no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
129,7.1,6,no,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
132,2.7,74,no,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,"yes",no
134,1.7,53,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
136,3.4,48,no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no
137,1.7,70,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
138,2.2,70,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
141,8.3,8,no,no,"yes",no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
142,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
143,1.2,7,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
144,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
145,6.2,8,"yes",no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes"
146,2.2,71,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
147,4.7,36,no,no,"yes","yes","yes",no,no,no,no,no,no,no,no,no,"yes",no
148,3.2,48,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no,"yes",no
149,4.7,30,"yes",no,no,no,"yes",no,"yes",no,no,no,no,no,no,no,"yes",no
151,5.6,67,no,no,"yes","yes",no,"yes",no,no,no,no,no,no,no,no,"yes",no
152,6,17,"yes",no,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
153,2.2,76,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
154,2.8,26,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes",no
155,5.6,53,no,no,"yes","yes",no,no,no,"yes",no,"yes",no,no,no,no,"yes",no
158,6.5,13,no,no,"yes",no,"yes",no,"yes",no,no,no,no,"yes",no,no,no,"yes"
159,4.6,49,no,"yes","yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
161,3.4,32,no,no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,"yes",no
162,1.7,75,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
163,3.5,38,no,"yes",no,no,no,no,"yes",no,no,no,no,no,no,no,"yes",no
165,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
166,1.7,61,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
167,2.8,26,no,no,"yes",no,no,no,no,no,no,"yes",no,no,no,no,"yes",no
168,5.3,76,no,no,"yes",no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
170,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
171,4.6,37,no,"yes","yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
172,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
175,4.8,49,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no,"yes",no
176,6.3,13,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes"
177,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
178,5.1,29,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
179,4.9,49,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no
180,2.7,55,no,no,no,"yes",no,no,"yes",no,no,no,no,no,no,no,"yes",no
181,3.4,50,no,no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,"yes",no
182,6.4,17,no,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes"
183,2.7,54,no,no,no,"yes",no,no,"yes",no,no,no,no,no,no,no,"yes",no
184,1.7,57,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
186,12.8,3,no,"yes","yes","yes",no,no,no,"yes",no,"yes",no,no,no,no,no,"yes"
187,2.2,72,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
188,5.1,43,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
189,3.3,26,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no
190,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
194,2.2,68,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
195,1.7,66,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
196,2.8,27,no,no,"yes",no,no,no,no,no,no,"yes",no,no,no,no,"yes",no
199,1.1,2,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
200,4.9,27,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no
202,3.1,39,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
203,2.2,63,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
205,2.6,68,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,no,"yes",no
206,2.2,65,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
207,4.1,30,no,no,"yes","yes",no,no,no,no,no,"yes",no,no,no,no,"yes",no
208,5.2,76,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
210,8,76,no,no,no,no,"yes",no,no,no,no,no,"yes","yes",no,no,no,"yes"
211,4.6,42,no,no,no,no,no,no,"yes","yes",no,no,no,"yes",no,no,"yes",no
213,9.4,9,no,no,no,"yes",no,no,no,"yes","yes",no,no,"yes",no,no,no,"yes"
214,2.9,28,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
215,8.3,19,no,no,"yes",no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
218,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
221,6.6,1,no,no,no,no,no,no,no,no,"yes",no,no,"yes",no,no,no,"yes"
223,15.8,9,"yes",no,"yes","yes","yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
226,8.8,16,no,no,no,no,"yes",no,no,no,"yes",no,no,"yes",no,no,no,"yes"
228,2.1,62,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
229,7.3,7,no,no,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes"
231,6.4,12,no,"yes",no,"yes",no,no,"yes",no,no,"yes",no,no,no,no,no,"yes"
232,11.1,21,"yes",no,no,"yes","yes",no,"yes",no,no,no,no,no,no,no,no,"yes"
233,2.6,63,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,no,"yes",no
234,7.1,11,no,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
235,8.7,22,no,no,no,no,"yes",no,no,no,"yes","yes",no,no,no,no,no,"yes"
236,3.5,27,no,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,"yes",no
237,1.6,75,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no
238,6.3,4,no,no,"yes","yes","yes",no,no,no,no,"yes",no,no,no,no,no,"yes"
239,6.3,19,no,no,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes"
240,11.1,21,"yes",no,"yes",no,"yes",no,no,"yes",no,no,no,no,no,no,no,"yes"
241,5.2,76,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
242,5.6,55,no,no,"yes","yes",no,no,"yes",no,no,no,no,"yes",no,no,"yes",no
243,4.5,33,"yes",no,"yes",no,"yes",no,no,no,no,no,no,no,no,no,"yes",no
244,4.9,34,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no
245,4.2,31,no,no,"yes",no,no,no,"yes",no,no,"yes",no,no,no,no,"yes",no
246,3.6,32,no,no,no,no,"yes",no,"yes",no,no,no,no,no,no,no,"yes",no
247,12.1,14,no,no,no,no,"yes","yes",no,no,no,no,no,"yes",no,no,no,"yes"
249,10.3,23,no,no,no,"yes","yes",no,no,no,no,no,no,"yes",no,no,no,"yes"
250,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
251,3.9,27,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no,"yes",no
252,11.2,3,no,no,"yes",no,"yes",no,"yes","yes","yes",no,no,no,no,no,no,"yes"
253,5.1,45,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
255,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
256,4.4,50,no,no,no,"yes",no,no,no,"yes",no,"yes",no,no,no,no,"yes",no
257,1.7,58,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
258,1.7,57,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
259,20.5,26,"yes","yes","yes","yes","yes","yes","yes","yes","yes",no,no,"yes",no,no,no,"yes"
260,2.8,27,no,no,"yes",no,no,no,no,no,no,"yes",no,no,no,no,"yes",no
261,7,76,no,no,no,"yes",no,no,no,no,no,"yes","yes",no,no,no,no,"yes"
263,3.1,36,no,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no
266,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
267,12.2,13,no,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
268,6.3,5,no,"yes","yes","yes",no,no,no,no,no,no,no,"yes",no,no,no,"yes"
270,1.6,58,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no
271,5.6,57,"yes",no,"yes",no,no,no,no,no,no,"yes",no,"yes",no,no,"yes",no
272,3.6,42,no,no,no,no,"yes",no,"yes",no,no,no,no,no,no,no,"yes",no
273,2.1,54,no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
274,10,7,no,"yes","yes",no,no,no,no,no,no,"yes",no,no,no,no,no,"yes"
275,10.3,5,"yes",no,"yes","yes",no,no,no,no,no,"yes",no,no,no,no,no,"yes"
276,11.7,76,no,no,"yes","yes","yes",no,"yes","yes",no,no,"yes",no,no,no,no,"yes"
277,13,18,no,no,"yes","yes","yes",no,no,"yes",no,no,no,"yes",no,no,no,"yes"
278,8.2,23,"yes","yes","yes",no,"yes",no,no,no,no,"yes",no,no,no,no,no,"yes"
279,7.5,4,"yes",no,"yes","yes","yes",no,no,no,no,no,no,"yes",no,no,no,"yes"
281,4.1,76,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
282,4.1,41,no,no,"yes",no,no,no,"yes","yes",no,no,no,no,no,no,"yes",no
284,3.2,34,"yes","yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
285,9.8,6,no,no,"yes",no,"yes",no,no,"yes","yes",no,no,no,no,no,no,"yes"
286,5.3,76,no,no,"yes",no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
288,1.1,2,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
290,4.6,34,"yes",no,no,"yes","yes",no,no,no,no,no,no,no,no,no,"yes",no
291,4.9,50,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no
292,3.9,37,no,no,"yes","yes",no,no,"yes",no,no,no,no,no,no,no,"yes",no
293,10.7,20,no,no,"yes","yes",no,no,no,"yes",no,"yes",no,no,no,no,no,"yes"
294,9.4,16,no,no,no,"yes",no,no,no,"yes","yes",no,no,"yes",no,no,no,"yes"
295,7.9,11,no,no,"yes",no,no,no,no,no,no,"yes",no,no,no,no,no,"yes"
296,4,44,"yes",no,no,no,no,no,"yes","yes",no,no,no,no,no,no,"yes",no
300,3.9,30,"yes",no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes",no
301,7.1,3,no,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
302,5.3,56,no,no,no,no,"yes",no,no,"yes",no,"yes",no,no,no,no,"yes",no
305,4.8,34,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no,"yes",no
306,7.2,15,no,"yes",no,no,no,no,no,no,no,no,no,no,no,no,no,"yes"
307,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
308,4.1,76,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
309,11.3,25,no,"yes","yes",no,no,no,no,"yes","yes","yes",no,no,no,no,no,"yes"
311,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
312,5.2,76,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
313,5.1,35,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
315,2.8,27,no,no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes",no
316,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
317,3.8,47,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
319,9.2,16,"yes",no,no,no,no,no,no,"yes","yes",no,no,"yes",no,no,no,"yes"
320,1.6,67,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no
322,2.2,67,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
323,3.3,29,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no
325,4.2,50,no,no,no,"yes",no,no,"yes","yes",no,no,no,no,no,no,"yes",no
326,11.1,14,no,no,no,"yes",no,no,no,no,no,"yes",no,no,no,no,no,"yes"
328,7.5,13,no,"yes",no,no,"yes",no,no,"yes",no,no,no,"yes",no,no,no,"yes"
329,13.4,8,no,no,no,"yes","yes","yes",no,no,no,no,no,"yes",no,no,no,"yes"
331,5.4,54,no,no,no,no,"yes",no,no,"yes",no,no,no,"yes",no,no,"yes",no
332,4.8,50,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
333,1.5,71,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
334,1.7,71,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
335,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
336,4.9,41,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no
337,2.8,27,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
340,2.5,62,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,"yes",no
341,7.2,16,"yes",no,"yes",no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
342,2.2,61,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
345,13.1,76,no,no,no,no,"yes",no,no,no,no,no,"yes","yes",no,no,no,"yes"
346,4.4,43,no,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no
347,1.1,2,"yes",no,no,no,no,no,no,no,no,no,no,no,no,"yes",no,no
348,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
349,2.8,27,no,no,"yes",no,no,no,no,no,no,"yes",no,no,no,no,"yes",no
350,3.3,38,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no
352,5.1,49,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
354,5.1,47,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
355,4.7,42,no,no,no,no,no,no,no,no,no,"yes",no,no,no,no,"yes",no
356,2.9,44,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no,"yes",no
359,2.2,53,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
360,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
361,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
362,2.3,67,"yes",no,"yes",no,no,no,no,no,no,no,no,no,no,no,"yes",no
363,4.1,76,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
364,4.9,34,no,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no
365,10,23,no,"yes","yes",no,no,no,no,no,no,"yes",no,no,no,no,no,"yes"
366,17.2,76,no,no,no,no,no,no,no,"yes","yes","yes","yes",no,no,no,no,"yes"
367,4.1,46,no,no,"yes","yes",no,no,no,no,no,"yes",no,no,no,no,"yes",no
368,6.3,76,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no,no,no,"yes"
369,1.6,72,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no,no
370,1.5,68,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
371,2.7,53,no,no,no,"yes",no,no,"yes",no,no,no,no,no,no,no,"yes",no
374,2.7,65,no,no,no,"yes",no,no,"yes",no,no,no,no,no,no,no,"yes",no
375,2.2,61,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
376,13.7,76,"yes",no,"yes",no,"yes",no,no,no,no,no,"yes",no,no,no,no,"yes"
377,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
378,5.7,56,no,"yes",no,no,"yes",no,"yes",no,no,no,no,no,no,no,"yes",no
379,1.4,11,no,no,no,no,no,no,"yes",no,no,no,no,no,no,"yes",no,no
380,1.5,56,no,no,no,no,no,no,no,"yes",no,no,no,no,no,"yes",no,no
384,5.1,48,no,no,no,no,no,no,no,no,no,no,no,no,no,no,"yes",no
386,15.4,76,no,no,no,"yes",no,no,no,no,"yes",no,"yes",no,no,no,no,"yes"
387,4.1,76,no,no,no,no,no,no,no,no,no,no,"yes",no,no,no,"yes",no
388,9.2,10,no,"yes",no,no,"yes",no,no,no,"yes",no,no,no,no,no,no,"yes"
390,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
393,10.9,76,no,no,no,no,"yes",no,"yes","yes",no,no,"yes","yes",no,no,no,"yes"
394,1.7,53,no,no,no,no,no,no,no,no,no,no,no,"yes",no,"yes",no,no
396,6.1,11,no,no,"yes",no,no,no,no,no,"yes",no,no,no,no,no,no,"yes"
397,4.6,50,no,no,no,no,no,"yes",no,"yes",no,no,no,no,no,no,"yes",no
398,2.2,74,no,no,no,no,"yes",no,no,no,no,no,no,no,no,"yes",no,no
399,1.2,6,no,no,"yes",no,no,no,no,no,no,no,no,no,no,"yes",no,no
400,7.6,15,no,no,"yes","yes",no,no,no,no,no,no,no,no,no,no,no,"yes"
402,1.3,9,no,no,no,"yes",no,no,no,no,no,no,no,no,no,"yes",no,no
403,4.9,33,no,no,"yes",no,"yes",no,no,"yes",no,no,no,no,no,no,"yes",no
